LZ,SC
21.1,24.83
19.22,23.13
20.48,20.73
21.425,19.69
19.584,18.69
17.893,18.89
16.68,18.57
15.488,18.04
15.46,18.58
15.042,19.09
13.744,18.87
12.896,18.48
12.408,18.5
12.682,18.5
14.092,18.97
15.254,18.73
16.652,18.88
18.084,18.79
19.018,18.32
20.45,17.79
22.216,17.13
23.788,17.41
24.51,17.63
24.396,18.16
22.808,17.97
21.972,17.81
20.404,17.8
19.078,18.31
18.168,18.39
16.434,18.27
14.77,18.53
13.298,18.57
11.592,18.46
9.962,17.95
10.028,18.31
10.52,19.05
10.448,19.05
10.352,19.23
10.302,20.38
10.286,21.39
10.892,20.76
10.838,20.4
10.844,20.48
10.852,21.43
11.558,22.35
11.12,22.28
11.71,23.08
11.91,23.05
11.398,22.9
11.964,22.27
11.936,23.1
12.3,23.45
12.304,23.26
12.562,22.61
11.298,20.71
10.844,21.19
10.97,21.6
11.416,21.36
12.186,20.1
12.05,20.96
12.136,21.64
12.214,22.7
12.968,24.64
12.962,25.06
13.51,26.73
14.334,27.45
14.862,27.83
15.392,29.58
15.132,31.03
15.64,30.18
15.342,30.07
14.874,28.98
14.182,26.78
14.086,27.67
14.608,28.5
14.23,27.72
12.892,27.03
11.532,25.09
10.702,24.05
9.562,24.67
9.818,25.8
10.358,26.81
10.576,27.99
10.842,27.46
10.376,26.18
10.406,26.34
10.698,27.32
11.01,29.4
11.644,29.33
12.216,28.36
11.958,26.67
12.104,25.4
11.916,25.13
12.284,25.73
12.85,26.26
13.48,25.93
14.556,25.15
14.576,24.86
14.648,24.6
15.468,26.72
16.574,29.42
16.242,31.11
16.178,30.26
15.614,28.44
15.32,27.28
14.77,28.4
15.294,29.5
16.95,30.33
18.322,31.72
17.222,31.06
16.042,28.37
16.004,27.52
16.602,29.11
16.792,30.23
16.882,31.45
16.246,31.13
15.114,30.59
14.622,28.84
14.094,29.46
15.138,29.74
16.092,30.86
17.34,33.18
18.492,35.1
18.114,36.18
17.478,34.5
17.436,32.79
16.952,31.35
15.754,30.74
14.636,29.68
14.132,30.67
12.916,30.99
11.486,27.72
10.234,25.51
10.706,24.72
11.226,25.59
11.534,26.66
12.382,27.35
12.908,28.7
13.092,28.32
12.812,26.63
13.436,26.29
14.126,28.23
13.934,28.82
14.692,27.43
14.862,27.55
16.134,28.35
16.176,29.43
15.82,28.55
16.046,28.17
16.108,27.34
16.4,27.1
16.588,26.43
16.408,25.46
15.356,26.57
14.602,25.94
13.282,23.92
12.936,21.73
12.702,21.84
12.894,23.44
13.742,25.39
13.312,24.96
12.244,23.87
12.276,24.38
11.916,23.44
12.394,24.16
12.928,25.88
13.68,28.51
15.154,30.19
15.816,30.53
14.652,29.97
14.396,29.29
14.406,29.34
14.808,29.58
15.356,31.02
15.856,31.71
15.748,31.49
15.654,30.53
15.236,29.59
14.408,28.99
15.034,28.56
15.23,29.19
15.574,29.3
15.708,29.07
15.614,28.46
15.472,28.91
15.44,29.68
14.368,29.13
14.2,29.27
13.94,30.22
